lemma,forms,pos,occurrences,book_count,first_chapter,chapters,ledger_chapters,target_chapters,status
thing,thing|things,NOUN,2,2,5,5|10,,,unclassified
think,think|thinks|thought,VERB,10,8,2,2|3|7|15|16|17|18,,,unclassified
third,third,ADJ,6,6,3,3|8|10|16|20,,,unclassified
thirsty,thirsty,ADJ,1,1,9,9,,9,target_extra
thirty,thirty,NUM,27,21,6,6|7|9|10|11|12|13|16|18|20,,,unclassified
this,this,DET,42,31,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
those,those,DET,1,1,2,2,,,unclassified
though,though,SCONJ,1,1,13,13,,,unclassified
three,three,NUM,31,26,4,4|5|6|7|8|10|11|12|13|14|15|16|17,,,unclassified
throat,throat,NOUN,3,1,11,11,,11,target_extra
through,through,ADP|ADV,6,6,3,3|9|13|17|18,,,unclassified
thunder,thunder,NOUN,3,3,9,9|20,9,9,core
thursday,thursday,PROPN,1,1,5,5,,,unclassified
ticket,ticket|tickets,NOUN,11,8,8,8|12|13|14|15|20,8,12|13,core
tie,tied|ties,VERB,2,2,12,12|18,,,unclassified
tight,tight,ADJ,3,3,7,7|16,7,7,core
time,time|times,NOUN,42,35,2,2|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,13,15,core
tiny,tiny,ADJ,1,1,16,16,,,unclassified
tip,tip,NOUN,1,1,10,10,,10,target_extra
tired,tired,ADJ,8,7,7,7|11|14|15|16|17,15,15,core
to,to,ADP|PART,257,90,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20,,,unclassified
toast,toast,NOUN,3,2,4,4|6,,4,target_extra
today,today,NOUN,17,14,1,1|2|6|7|9|10|11|16|19,,,unclassified
toe,toes,NOUN,1,1,11,11,,,unclassified
together,together,ADV,16,14,1,1|2|4|5|9|10|13|15|16|20,,4|5|16,target_extra
tom,tom,PROPN,16,5,3,3|5|8|13|16,,,unclassified
tomato,tomato|tomatoes,NOUN,8,5,4,4|10|20,,,unclassified
tomorrow,tomorrow,NOUN,3,3,4,4|6|11,,,unclassified
tonight,tonight,NOUN,1,1,20,20,,,unclassified
too,too,ADV,21,19,3,3|5|6|7|8|10|11|12|14|15|16|18|20,,,unclassified
tooth,tooth,NOUN,3,2,11,11,11,,core
top,top,NOUN,3,3,9,9|14|18,,,unclassified
total,total,NOUN,2,2,10,10,10,10,core
touch,touches,VERB,1,1,9,9,,,unclassified
toward,toward,ADP,3,3,8,8|18|20,,,unclassified
towel,towel,NOUN,3,3,3,3|20,3,3,core
town,town,NOUN|PROPN,6,3,7,7|12|18,,,unclassified
toy,toy,NOUN,1,1,16,16,,,unclassified
tradition,tradition,NOUN,3,3,16,16|20,16,16,core
traffic,traffic,NOUN,3,3,6,6|12,,6,target_extra
train,train,NOUN,21,11,2,2|8|12|18|19|20,8,,core
transport,transport,NOUN,1,1,19,19,,,unclassified
travel,travel|travelling,NOUN|VERB,6,6,12,12|14|19,12,19,core
tree,tree|trees,NOUN,13,7,4,4|9|16|17,9,,core
trip,trip,NOUN,8,6,8,8|12|15|18|19,12,12,core
trouser,trousers,NOUN,3,3,7,7|20,7,,core
true,true,ADJ,2,2,16,16,,,unclassified
try,tried|tries|try|trying,VERB,13,9,3,3|7|9|13|16|18|20,7,7,core
tuesday,tuesday,PROPN,6,6,1,1|5|6|13|14|15,,,unclassified
turn,turn|turned|turns,NOUN|VERB,20,16,3,3|5|6|8|9|11|12|13|14|16|18,8,8|16,core
twelve,twelve,ADJ|NUM,8,7,1,1|5|6|8|10|12|16,,,unclassified
twenty,twenty,NUM,19,17,1,1|2|6|8|10|11|14|15|19|20,,,unclassified
twice,twice,ADV|DET,7,7,11,11|12|13|17|19|20,,11|17,target_extra
two,two,NUM,74,50,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|20,,,unclassified
type,type|typed|types,VERB,3,3,14,14|15,,,unclassified
ukraine,ukraine,PROPN,1,1,1,1,,,unclassified
ukrainian,ukrainian,ADJ,1,1,1,1,,,unclassified
umbrella,umbrella,NOUN,4,2,16,16|18,,,unclassified
uncle,uncle,NOUN|PROPN,5,3,2,2|19,2,2,core
under,under,ADP,22,18,2,2|3|4|5|7|9|10|16|17|18|19,,,unclassified
understand,understand|understands,VERB,6,6,1,1|11|15|17|19,15,1,core
university,university,NOUN|PROPN,6,4,1,1|5|20,5,5,core
unknown,unknown,ADJ,2,2,14,14|20,,14,target_extra
until,until,ADP,4,4,9,9|11|14|17,,,unclassified
up,up,ADP,18,14,3,3|6|8|9|10|11|17|18|20,6,6,core
upset,upset,ADJ,3,3,15,15|20,15,15,core
upstairs,upstairs,ADV|NOUN,5,4,1,1|3|8|20,,1|3,target_extra
use,use|used|uses|using,VERB,23,19,1,1|4|6|10|13|14|15|16|17|18|19|20,,,unclassified
useful,useful,ADJ,1,1,1,1,,,unclassified
usually,usually,ADV,9,8,4,4|5|6|7|12,6,6,core
valuable,valuable,ADJ,1,1,10,10,,,unclassified
vegetable,vegetable|vegetables,NOUN,6,4,4,4|10|20,4,,core
very,very,ADV,15,13,2,2|4|5|6|7|8|9|13|14|18,,,unclassified
video,video,NOUN,2,2,14,14|19,,14,target_extra
